P. Teq Mean (K),P. Ts Mean (K)
1074.1,1115.2
805.6,850.6
788,827.5
543.7,
1018.2,1054.8
920,965
953.8,
745.8,
1005.5,1051.2
792.6,840.6
784.8,833.7
633.9,678.7
562.6,612.9
1281.7,1316.9
554.3,599.6
573.7,608.6
464.6,502.2
380.4,420.5
319.5,356.9
187.7,223
1258.7,1297.1
971.7,
1584.6,1626.1
1103.4,
673.9,709.7
540.1,589.1
1162.6,1202.8
949.3,988.2
701.8,739.4
578.6,622.1
839.3,887.3
809.3,
626.9,
,
920,969.2
560.1,
1515.8,1555.4
749.2,
517.1,566.4
747.9,793.2
467.5,507.6
537.6,581.6
407.6,455.2
1143.7,1177.5
933.5,979.5
812.1,848.4
685.4,717.9
658.4,
468.2,518.2
1575.1,1614.8
616.6,
436,
858.2,904.6
809.1,849.7
709,758.9
391.8,
794.2,835.1
501.2,544.6
1304,
1094.9,1144.9
855.1,893.8
834.3,
686.1,728.9
789.9,829.5
404.5,445.6
992.7,1028.4
832.2,874.7
686.7,722.2
1932.8,1973.1
1569.1,1608.6
1262.2,
1323,1364
1093.8,1132
958,993.6
846.2,885.4
674.7,722.6
490.4,
1304.4,
805.1,
933.6,970.1
821.5,858.3
854.9,889
685.3,
1450,1491
1152.4,1201.1
876.6,
717.5,764
886.1,927
764,806.5
597.1,646.3
458.3,500.6
1072.6,1121.4
817.5,
1431.9,1479.4
1223.7,1267.1
,
1164.6,1203.8
501.6,
,
1304.4,
766.6,
597.1,
779.5,809
606.4,646.7
414.1,446.5
351.7,389.1
1088.3,1130.3
861.8,
709.7,
580.6,
1019.9,
740.7,
526.7,
960.7,1002.4
875,920
762.1,
693.7,743
936,974.1
757.6,
611.6,659.8
518.1,562.9
475.3,511
337.6,380.9
1013.4,1053.5
912.3,960.3
797,832.9
898.3,
500.4,
1373.7,1413.5
1174.3,
842.6,
774.6,821.8
563.9,
411.2,
510.5,
361.9,407.4
427.4,469.5
344.4,388.6
1092.7,
799,
742.5,792.2
384.6,
1445.7,
1042,
723.3,770.8
545.7,582.5
398.4,443.9
301.5,348.9
463.2,503.4
325,370
813.3,851.8
682.5,728.5
1273.6,1315.6
894,943.2
692.5,
551,
428.1,477.8
612.8,661.4
364.9,
863,900.9
695.1,742.2
553.2,601.7
390.1,
745.2,
618.1,663.1
848.5,898.4
560.7,605.7
979.6,
742.6,788.2
585.4,633.7
754.8,
571.2,618.1
447.5,
1010.7,1053
917.1,965.8
678.5,718
974.7,1015.8
689.2,
533.9,
811.5,
594.5,
582.6,616.7
452.6,492.2
350,390.3
934.6,969.4
779.5,827.5
574.6,621.5
998.5,1035.9
658.1,
538.8,
361.6,
571.4,607.5
486.5,533.2
951.6,992.6
684.2,
566.1,
990.4,
773.3,819.9
672.1,722.5
944.1,984.1
781.3,
1677.6,1714.9
1698.4,1738.9
1315.5,1362.2
1103.1,1153.3
900.7,949.5
1263.2,
906.7,
582.3,
651.2,
475.8,
883.7,
533.2,
783.9,829
372.6,414.8
673.5,720.4
505.8,550.8
735.2,772.9
619.7,660.8
595.6,
419.4,469.5
677.4,
449.3,
1027.3,1070.8
757.2,
555.5,605.7
477.8,
988.3,1038.5
389.6,
730.4,775.3
573.6,620
358,406
712.2,
483.2,
1022.8,1072.8
887.6,929.2
988.2,1033.3
761.9,804.4
965.5,996.5
857.5,890.2
,
1155.4,1194.1
912,954.8
746.7,794.4
1160.7,1200.2
826.3,871.2
839.8,879.7
590.9,634.2
1020.1,1068.8
878.9,
674.7,
724.1,
567,610.1
492.5,535.9
958.6,1017.2
773.2,827.7
829.3,
683.8,
974.3,
677,726.4
588.2,639.5
1335.7,1374.5
1009.7,1054.8
699.9,
516.3,
909.3,942.2
799.8,835.4
629.2,687.3
518.4,573.1
505.8,552.2
248,291.1
690.9,738.6
482.8,
1131.7,1169.3
848.8,883.4
1388.6,1424.8
1113.3,1151.2
923.8,961.3
543.9,586.4
682.3,730.9
523.8,
1068.6,1110
728.1,
508.5,
576.3,617.5
459.8,
369.8,
588.6,636.4
431.2,
1232.9,1279.6
1048.4,1092.1
1137.8,1175.1
1003.4,1042.5
816.3,863.8
683.5,
566.9,615.7
660.8,
468.9,
1178.1,1220.6
968.6,
744.9,780.9
622,657.2
534.9,572.6
709.9,741.8
603.3,650
401.4,449.4
267.4,306.6
194,236.3
510.1,
410,
530.1,574.7
406.6,450.8
271.5,321.9
1256.8,1294.1
950,
731.7,775.3
535.9,579.6
816.7,858.1
519.9,567.6
1282,1319.6
993,1030.6
726.8,769.1
636.3,
394.2,
777.7,808.6
504.6,539.5
877.4,
745.7,792.6
612.6,
1123.4,1159
835.8,
728.4,
581.5,
828.9,868.7
716.1,764.9
535.1,585.1
389,437
831.3,871.1
770.5,805.5
840,886.3
718.6,765.3
725.9,766.1
278.5,
719.7,755.2
452.3,
383,433
962.9,1004.8
745.9,784.6
1856.7,1893.6
835.8,
886.3,
687.1,
1235.4,1265.4
913.6,
411.1,
293,
813.5,847.2
555,590.1
951.5,997.4
815.7,857.6
1167.9,
852.9,
1023.6,1064.5
880,
528.9,577
1025.3,1060.2
793.3,831.2
1156.4,1199
832.4,880.9
1364,1396.9
992.4,1033.9
1713.7,1752.4
1337,1378
938.7,973.6
411.6,
1101.7,
782.7,
540.7,
1125.5,1165.2
891.5,929.8
783.7,819.5
688.6,723
540.9,574.1
390.9,432.9
506.4,556.1
399.2,
548,586.3
402.7,446.9
699.1,736.6
562.1,606.6
526.3,569.3
414.1,457.4
336.5,377.5
700.7,735.9
549.1,583.2
426.4,461.8
463.5,500.8
372.1,406.5
1076.3,1110.8
812.6,851.3
648.5,686.9
1287,
590.7,
1623.7,1656.8
972.4,1018.5
751.6,800.6
1567.4,1607.3
1090.3,1135.9
1007,1058.2
830.6,880.8
679.5,
1150.8,1197.3
946.9,985.5
845.4,880.5
736.2,771.4
1084.6,
941,
1093,1128.3
946.5,988.4
627.6,671
544.2,589.2
922.7,970.4
767.5,812.1
671.1,721.3
1959.2,1990.1
1032.2,1081.6
749.3,794.5
644.3,
360.8,
608.7,636.9
563.5,599.2
1008.3,
655.5,
809.4,854.1
627.5,669.8
1152.1,1191.9
855,892.5
993.4,1037.4
781.6,826.2
980,1023.4
860.3,
757.6,801.7
495.9,
428.2,
320.1,
696.2,726.7
590.9,627.1
538.8,569.8
477.3,515.3
721.9,765.2
494.7,531.8
439,475.3
883.1,922.1
666.7,
1306.3,1346.5
919.6,962.6
806,849.3
584,
407.9,
554.1,
411.3,
681.7,
519.1,
471.6,
1310,1351.2
1003.4,1049.4
1073.7,1112.5
574.9,
734.2,765.1
476,514.8
1374,1409
1071,1112.7
920.3,965.9
722.2,762.2
545.5,592.2
867.7,913.2
733.9,774.9
1322.4,1361.4
845.8,888.7
384.8,421.8
343,378.6
799.5,
574.7,
626.7,661.4
354.1,392.5
1053.4,1094
654.2,698.3
555.8,599.7
444.3,487
1118.9,1156.6
780.9,826.8
683.5,725.2
954.7,992.5
658.8,695.1
1476.3,1509.5
1226.7,1261
1062.4,1099.5
740.8,779.7
627,
1183.6,1217.4
833.3,876.1
877.6,915.7
679.1,724.8
502.7,531.1
412.9,440.2
783.7,825
535.1,583.2
1316.6,1352.1
1054.1,1090.7
1323,1355.6
993.7,1028.2
1020.8,1058.1
768.7,809.2
551.5,588.8
409.9,446.2
599.6,634.2
474.8,509.6
952,
832,
646.6,684.7
508.9,549.3
1000.4,1033.7
833.3,864.3
802.9,832.4
499.5,530.1
1040.5,1080.1
635.2,674.2
789.1,818.8
633,662.1
1437.2,
1025.7,
1145.8,1178.6
912.7,946.9
1062.7,1099.5
910.4,947.8
1041.6,1082.2
904.7,946.1
569.4,602.6
334.3,371.6
399.6,454
508.6,
541.1,591
296.4,
737.6,769.3
524.6,557.5
,
623.3,655.5
508.1,546.8
391.6,435.5
943.6,984.8
760.3,799.7
890.5,932.5
599.7,646.4
,
1334.7,1370.7
1155.9,1196
1021.9,1059.9
943.8,982.7
1123.3,1159.7
568.2,610.6
,
732.3,768.8
680.8,722.8
785.2,831.1
558.2,
1328.8,1374
1071.8,1116.4
1539,1591.4
401.5,459.7
947.7,
1000,1043.8
723.8,
1672.1,
306,357.2
433.9,
505.3,
250.2,
400,
184.4,
1024,
1341.6,
1112.8,
273.2,
667.4,
458.4,
1031.7,1060.4
950.6,977.3
855.8,890.2
807.5,
1389,
914.7,
1579.5,
291.6,
504.7,553.3
306.2,352.7
276,310.6
296.4,344
272.5,316.1
173.8,214.9
233,270.5
247,295.5
943.6,962.5
872.5,894.9
786.1,809.6
731.3,754.9
661.9,688.9
421.5,465.5
358,398.6
301.5,343.4
575,616.5
461.1,502.9
386.6,426.7
886.4,
988,
916.1,961.7
659.8,
757.4,
929.2,
1179.1,1209.2
261.5,302.5
258.6,
838.2,877.6
228.3,
178.4,
222.4,
798.6,847.4
539.2,588
234.5,
708.6,
203,
289.1,
364.4,
839.1,
670.9,
547.4,
833.6,
1180,
1015,
512.6,
1228.7,1265.1
727.1,774.9
482.1,
695.2,
872.3,
1556.7,
887.4,
860.8,
1065.1,
986.4,1036.7
793,
673.2,719
638.3,
657.8,704.2
1306.8,
883,933.4
356.5,405.5
747.2,
777.6,825.6
1309.8,
448.3,
657.9,
483.7,
1329.4,
550.9,
1341.5,
1097.4,
739.2,
1663.1,
1044.9,
1045.6,
764.9,813.4
1249.3,
837.1,
877.5,924.4
907.9,
1060.9,
1282.5,
939.9,
361.3,401.9
330.1,
1095,
1413.4,1450.4
705.5,746.6
593.7,644
810.9,861
298.7,
645.4,
616.8,663.9
1244.4,1286.3
570.3,609.2
1005.6,
455.1,
851.8,898
522,568.1
733.4,774.7
1141.9,1175.7
826.7,
780.8,
906.3,951
981,1025
1585.5,1617.7
716,
1100.7,1145.7
982.5,
695.7,741.6
1613.1,1656.6
865.2,910.2
500.8,
448.6,
634.4,
434.2,
723.4,771
1245.5,1294.4
1362.5,
1206.9,1245.3
392,439.8
350.6,
174.4,212.1
348.6,
1532.5,
708.7,749
532,582.4
759.1,805.4
805.2,
